Date,Adj Close,Capital Gains,Close,Dividends,High,Low,Open,Stock Splits,Volume
1993-01-29,24.24140739440918,0.0,43.9375,0.0,43.96875,43.75,43.96875,0.0,1003200
1993-02-01,24.413822174072266,0.0,44.25,0.0,44.25,43.96875,43.96875,0.0,480500
1993-02-02,24.465538024902344,0.0,44.34375,0.0,44.375,44.125,44.21875,0.0,201300
1993-02-03,24.724159240722656,0.0,44.8125,0.0,44.84375,44.375,44.40625,0.0,529400
1993-02-04,24.827619552612305,0.0,45.0,0.0,45.09375,44.46875,44.96875,0.0,531500
1993-02-05,24.810367584228516,0.0,44.96875,0.0,45.0625,44.71875,44.96875,0.0,492100
1993-02-08,24.810367584228516,0.0,44.96875,0.0,45.125,44.90625,44.96875,0.0,596100
1993-02-09,24.637968063354492,0.0,44.65625,0.0,44.8125,44.5625,44.8125,0.0,122100
1993-02-10,24.672443389892578,0.0,44.71875,0.0,44.75,44.53125,44.65625,0.0,379600
1993-02-11,24.793123245239258,0.0,44.9375,0.0,45.125,44.78125,44.78125,0.0,19500
1993-02-12,24.60347557067871,0.0,44.59375,0.0,44.875,44.59375,44.875,0.0,42500
1993-02-16,23.9827823638916,0.0,43.46875,0.0,44.46875,43.40625,44.46875,0.0,374800
1993-02-17,23.965538024902344,0.0,43.4375,0.0,43.53125,43.28125,43.46875,0.0,210900
1993-02-18,23.94829750061035,0.0,43.40625,0.0,43.9375,42.8125,43.9375,0.0,378100
1993-02-19,24.034503936767578,0.0,43.5625,0.0,43.5625,43.34375,43.40625,0.0,34900
1993-02-22,24.120712280273438,0.0,43.71875,0.0,43.78125,43.5625,43.6875,0.0,513600
1993-02-23,24.10346031188965,0.0,43.6875,0.0,43.875,43.46875,43.84375,0.0,373700
1993-02-24,24.413822174072266,0.0,44.25,0.0,44.25,43.71875,43.71875,0.0,26300
1993-02-25,24.465538024902344,0.0,44.34375,0.0,44.375,44.125,44.21875,0.0,44500
1993-02-26,24.500032424926758,0.0,44.40625,0.0,44.4375,44.1875,44.4375,0.0,66200
1993-03-01,24.43105697631836,0.0,44.28125,0.0,44.5625,44.21875,44.5625,0.0,66500
1993-03-02,24.793123245239258,0.0,44.9375,0.0,44.9375,44.25,44.3125,0.0,182400
1993-03-03,24.896577835083008,0.0,45.125,0.0,45.15625,44.9375,45.0,0.0,280100
1993-03-04,24.758644104003906,0.0,44.875,0.0,45.1875,44.875,45.1875,0.0,89500
1993-03-05,24.689685821533203,0.0,44.75,0.0,45.125,44.71875,44.9375,0.0,40000
1993-03-08,25.241397857666016,0.0,45.75,0.0,45.75,44.84375,44.84375,0.0,50800
1993-03-09,25.15518569946289,0.0,45.59375,0.0,45.6875,45.5,45.65625,0.0,169300
1993-03-10,25.206920623779297,0.0,45.6875,0.0,45.6875,45.40625,45.59375,0.0,194400
1993-03-11,25.137964248657227,0.0,45.5625,0.0,45.84375,45.5,45.71875,0.0,70900
1993-03-12,24.879358291625977,0.0,45.09375,0.0,45.21875,44.8125,45.1875,0.0,643600
1993-03-15,25.000028610229492,0.0,45.3125,0.0,45.3125,45.0625,45.0625,0.0,310800
1993-03-16,25.000028610229492,0.0,45.3125,0.0,45.4375,45.3125,45.3125,0.0,30800
1993-03-17,24.84484100341797,0.0,45.03125,0.0,45.25,44.96875,45.25,0.0,21800
1993-03-18,25.000028610229492,0.0,45.3125,0.0,45.5,45.21875,45.21875,0.0,59300
1993-03-19,24.962188720703125,0.0,45.03125,0.213,45.28125,45.03125,45.28125,0.0,66900
1993-03-22,24.823593139648438,0.0,44.78125,0.0,44.875,44.5625,44.59375,0.0,183400
1993-03-23,24.875579833984375,0.0,44.875,0.0,44.9375,44.8125,44.90625,0.0,55200
1993-03-24,24.875579833984375,0.0,44.875,0.0,45.0625,44.59375,44.8125,0.0,37200
1993-03-25,25.031492233276367,0.0,45.15625,0.0,45.25,44.84375,44.90625,0.0,110100
1993-03-26,24.89289665222168,0.0,44.90625,0.0,45.15625,44.875,45.125,0.0,101500
1993-03-29,24.996829986572266,0.0,45.09375,0.0,45.3125,44.9375,44.9375,0.0,87100
1993-03-30,25.06612777709961,0.0,45.21875,0.0,45.21875,45.09375,45.15625,0.0,56000
1993-03-31,25.048803329467773,0.0,45.1875,0.0,45.46875,45.1875,45.34375,0.0,111600
1993-04-01,24.962188720703125,0.0,45.03125,0.0,45.25,44.9375,45.25,0.0,129500
1993-04-02,24.4425106048584,0.0,44.09375,0.0,44.65625,44.09375,44.65625,0.0,59400
1993-04-05,24.563783645629883,0.0,44.3125,0.0,44.4375,44.1875,44.4375,0.0,172200
1993-04-06,24.49445343017578,0.0,44.1875,0.0,44.40625,44.0625,44.40625,0.0,129700
1993-04-07,24.581092834472656,0.0,44.34375,0.0,44.34375,44.15625,44.25,0.0,28000
1993-04-08,24.546438217163086,0.0,44.28125,0.0,44.53125,44.09375,44.53125,0.0,180800
1993-04-12,24.89289665222168,0.0,44.90625,0.0,44.9375,44.65625,44.71875,0.0,348500
1993-04-13,24.944875717163086,0.0,45.0,0.0,45.15625,44.84375,44.875,0.0,146100
1993-04-14,24.910228729248047,0.0,44.9375,0.0,45.0625,44.90625,45.03125,0.0,119600
1993-04-15,24.910228729248047,0.0,44.9375,0.0,45.03125,44.75,44.90625,0.0,148600
1993-04-16,24.910228729248047,0.0,44.9375,0.0,45.03125,44.875,44.96875,0.0,47900
1993-04-19,24.80628204345703,0.0,44.75,0.0,45.0625,44.71875,44.9375,0.0,157000
1993-04-20,24.685033798217773,0.0,44.53125,0.0,44.75,44.25,44.6875,0.0,279500
1993-04-21,24.667701721191406,0.0,44.5,0.0,44.625,44.375,44.625,0.0,67900
1993-04-22,24.355880737304688,0.0,43.9375,0.0,44.6875,43.9375,44.3125,0.0,97700
1993-04-23,24.251951217651367,0.0,43.75,0.0,43.96875,43.6875,43.84375,0.0,106000
1993-04-26,24.061420440673828,0.0,43.40625,0.0,43.9375,43.28125,43.78125,0.0,62600
1993-04-27,24.321252822875977,0.0,43.875,0.0,43.875,43.34375,43.34375,0.0,156800
1993-04-28,24.269277572631836,0.0,43.78125,0.0,43.90625,43.71875,43.8125,0.0,85900
1993-04-29,24.37322425842285,0.0,43.96875,0.0,43.96875,43.625,43.875,0.0,85000
1993-04-30,24.407865524291992,0.0,44.03125,0.0,44.28125,44.03125,44.125,0.0,88500
1993-05-03,24.563783645629883,0.0,44.3125,0.0,44.3125,43.90625,44.09375,0.0,80500
1993-05-04,24.650392532348633,0.0,44.46875,0.0,44.625,44.34375,44.40625,0.0,149100
1993-05-05,24.719654083251953,0.0,44.59375,0.0,44.75,44.46875,44.46875,0.0,109000
1993-05-06,24.633058547973633,0.0,44.4375,0.0,44.5625,44.40625,44.53125,0.0,54700
1993-05-07,24.581092834472656,0.0,44.34375,0.0,44.46875,44.28125,44.46875,0.0,68000
1993-05-10,24.633058547973633,0.0,44.4375,0.0,44.6875,44.40625,44.40625,0.0,113900
1993-05-11,24.737001419067383,0.0,44.625,0.0,44.625,44.3125,44.4375,0.0,42600
1993-05-12,24.702346801757812,0.0,44.5625,0.0,44.59375,44.4375,44.4375,0.0,31000
1993-05-13,24.407865524291992,0.0,44.03125,0.0,44.375,44.0,44.375,0.0,129100
1993-05-14,24.390552520751953,0.0,44.0,0.0,44.15625,43.96875,44.03125,0.0,63500
1993-05-17,24.477153778076172,0.0,44.15625,0.0,44.15625,43.9375,44.125,0.0,34000
1993-05-18,24.45983123779297,0.0,44.125,0.0,44.21875,43.96875,44.1875,0.0,105200
1993-05-19,24.962188720703125,0.0,45.03125,0.0,45.03125,43.84375,44.125,0.0,50200
1993-05-20,25.031492233276367,0.0,45.15625,0.0,45.15625,44.9375,45.03125,0.0,98200
1993-05-21,24.80628204345703,0.0,44.75,0.0,45.25,44.71875,45.1875,0.0,221400
1993-05-24,24.910228729248047,0.0,44.9375,0.0,45.09375,44.84375,44.84375,0.0,30500
1993-05-25,24.962188720703125,0.0,45.03125,0.0,45.125,45.03125,45.125,0.0,191800
1993-05-26,25.274002075195312,0.0,45.59375,0.0,45.625,45.125,45.15625,0.0,102400
1993-05-27,25.187393188476562,0.0,45.4375,0.0,45.65625,45.375,45.65625,0.0,53800
1993-05-28,25.06612777709961,0.0,45.21875,0.0,45.40625,45.0,45.40625,0.0,79100
1993-06-01,25.308650970458984,0.0,45.65625,0.0,45.8125,45.3125,45.375,0.0,28300
1993-06-02,25.274002075195312,0.0,45.59375,0.0,45.75,45.34375,45.53125,0.0,20300
1993-06-03,25.187393188476562,0.0,45.4375,0.0,45.5,45.34375,45.5,0.0,21600
1993-06-04,25.100770950317383,0.0,45.28125,0.0,45.3125,45.09375,45.3125,0.0,32000
1993-06-07,25.014171600341797,0.0,45.125,0.0,45.375,45.125,45.375,0.0,121400
1993-06-08,24.78896713256836,0.0,44.71875,0.0,45.0,44.71875,45.0,0.0,104500
1993-06-09,24.875579833984375,0.0,44.875,0.0,45.0625,44.8125,44.875,0.0,43300
1993-06-10,24.89289665222168,0.0,44.90625,0.0,44.9375,44.75,44.84375,0.0,17900
1993-06-11,24.996829986572266,0.0,45.09375,0.0,45.15625,44.90625,45.0625,0.0,647400
1993-06-14,24.962188720703125,0.0,45.03125,0.0,45.1875,45.03125,45.15625,0.0,64200
1993-06-15,24.910228729248047,0.0,44.9375,0.0,45.125,44.9375,45.09375,0.0,142400
1993-06-16,24.962188720703125,0.0,45.03125,0.0,45.03125,44.8125,44.9375,0.0,330900
1993-06-17,25.048803329467773,0.0,45.1875,0.0,45.1875,45.03125,45.125,0.0,37400
1993-06-18,24.84253692626953,0.0,44.5,0.318,44.84375,44.5,44.84375,0.0,58500
1993-06-21,24.894866943359375,0.0,44.59375,0.0,44.625,44.53125,44.625,0.0,29300
1993-06-22,24.91231346130371,0.0,44.625,0.0,44.65625,44.5625,44.65625,0.0,137500
1993-06-23,24.68552017211914,0.0,44.21875,0.0,44.625,44.21875,44.625,0.0,227600
1993-06-24,25.016992568969727,0.0,44.8125,0.0,44.8125,44.34375,44.34375,0.0,243700
1993-06-25,24.999547958374023,0.0,44.78125,0.0,44.90625,44.75,44.78125,0.0,44800
1993-06-28,25.278675079345703,0.0,45.28125,0.0,45.28125,44.9375,45.0,0.0,439900
1993-06-29,25.15654754638672,0.0,45.0625,0.0,45.21875,45.0,45.21875,0.0,207500
1993-06-30,25.15654754638672,0.0,45.0625,0.0,45.21875,45.0,45.125,0.0,437600
1993-07-01,25.08677101135254,0.0,44.9375,0.0,45.125,44.875,45.125,0.0,605700
1993-07-02,24.947202682495117,0.0,44.6875,0.0,44.8125,44.53125,44.78125,0.0,285400
1993-07-06,24.68552017211914,0.0,44.21875,0.0,44.75,44.15625,44.625,0.0,246400
1993-07-07,24.755313873291016,0.0,44.34375,0.0,44.40625,44.1875,44.1875,0.0,343700
1993-07-08,25.034446716308594,0.0,44.84375,0.0,44.9375,44.3125,44.375,0.0,248200
1993-07-09,25.104223251342773,0.0,44.96875,0.0,44.96875,44.75,44.84375,0.0,378200
1993-07-12,25.08677101135254,0.0,44.9375,0.0,44.96875,44.84375,44.90625,0.0,373700
1993-07-13,25.069326400756836,0.0,44.90625,0.0,45.09375,44.65625,44.96875,0.0,389600
1993-07-14,25.15654754638672,0.0,45.0625,0.0,45.1875,44.90625,44.9375,0.0,617300
1993-07-15,25.051876068115234,0.0,44.875,0.0,45.03125,44.78125,45.03125,0.0,443800
1993-07-16,24.98208999633789,0.0,44.75,0.0,44.9375,44.6875,44.90625,0.0,216400
1993-07-19,24.964641571044922,0.0,44.71875,0.0,44.75,44.59375,44.75,0.0,188200
1993-07-20,25.034446716308594,0.0,44.84375,0.0,44.84375,44.46875,44.6875,0.0,68500
1993-07-21,25.016992568969727,0.0,44.8125,0.0,44.8125,44.65625,44.78125,0.0,142700
1993-07-22,24.84253692626953,0.0,44.5,0.0,44.8125,44.5,44.75,0.0,632400
1993-07-23,24.964641571044922,0.0,44.71875,0.0,44.71875,44.5625,44.59375,0.0,286200
1993-07-26,25.104223251342773,0.0,44.96875,0.0,45.0625,44.84375,44.84375,0.0,121300
1993-07-27,25.08677101135254,0.0,44.9375,0.0,45.03125,44.78125,45.0,0.0,92800
1993-07-28,25.034446716308594,0.0,44.84375,0.0,44.9375,44.78125,44.84375,0.0,30800
1993-07-29,25.173999786376953,0.0,45.09375,0.0,45.21875,44.875,44.9375,0.0,331000
1993-07-30,25.034446716308594,0.0,44.84375,0.0,45.09375,44.78125,45.09375,0.0,75300
1993-08-02,25.104223251342773,0.0,44.96875,0.0,45.125,44.90625,44.90625,0.0,41300
1993-08-03,25.121662139892578,0.0,45.0,0.0,45.1875,44.84375,45.0625,0.0,81600
1993-08-04,25.121662139892578,0.0,45.0,0.0,45.09375,44.875,45.0,0.0,434000
1993-08-05,25.069326400756836,0.0,44.90625,0.0,45.0,44.84375,45.0,0.0,36800
